""	"bwnet_20$colors"
"Zm00001eb233450"	"darkturquoise"
"Zm00001eb128330"	"brown"
"Zm00001eb190060"	"green"
"Zm00001eb409870"	"magenta"
"Zm00001eb272920"	"green"
"Zm00001eb169970"	"yellow"
"Zm00001eb070950"	"green"
"Zm00001eb165590"	"pink"
"Zm00001eb184000"	"lightyellow"
"Zm00001eb222570"	"pink"
"Zm00001eb285610"	"green"
"Zm00001eb346210"	"green"
"Zm00001eb198420"	"green"
"Zm00001eb136750"	"yellow"
"Zm00001eb212470"	"green"
"Zm00001eb056450"	"green"
"Zm00001eb415630"	"brown"
"Zm00001eb078210"	"green"
"Zm00001eb144930"	"red"
"Zm00001eb133810"	"yellow"
"Zm00001eb335880"	"blue"
"Zm00001eb285890"	"steelblue"
"Zm00001eb215310"	"greenyellow"
"Zm00001eb040570"	"tan"
"Zm00001eb194190"	"yellow"
"Zm00001eb419190"	"pink"
"Zm00001eb391690"	"lightcyan"
"Zm00001eb342400"	"green"
"Zm00001eb214560"	"darkturquoise"
"Zm00001eb294160"	"green"
"Zm00001eb043450"	"greenyellow"
"Zm00001eb185240"	"greenyellow"
"Zm00001eb308350"	"magenta"
"Zm00001eb282710"	"green"
"Zm00001eb417450"	"yellow"
"Zm00001eb130220"	"green"
"Zm00001eb108120"	"pink"
"Zm00001eb400820"	"blue"
"Zm00001eb213080"	"green"
"Zm00001eb397180"	"turquoise"
"Zm00001eb226920"	"green"
"Zm00001eb242260"	"red"
"Zm00001eb417370"	"blue"
"Zm00001eb310700"	"green"
"Zm00001eb267260"	"green"
"Zm00001eb116010"	"magenta"
"Zm00001eb090730"	"green"
"Zm00001eb282790"	"green"
"Zm00001eb129440"	"yellow"
"Zm00001eb340580"	"green"
"Zm00001eb329250"	"magenta"
"Zm00001eb010790"	"pink"
"Zm00001eb365200"	"green"
"Zm00001eb340370"	"green"
"Zm00001eb246370"	"yellow"
"Zm00001eb378000"	"green"
"Zm00001eb228370"	"red"
"Zm00001eb247760"	"tan"
"Zm00001eb215120"	"yellow"
"Zm00001eb376570"	"magenta"
"Zm00001eb219490"	"green"
"Zm00001eb396730"	"green"
"Zm00001eb087960"	"lightcyan"
"Zm00001eb313850"	"blue"
"Zm00001eb320980"	"green"
"Zm00001eb344440"	"green"
"Zm00001eb335620"	"green"
"Zm00001eb206090"	"blue"
"Zm00001eb412370"	"lightyellow"
"Zm00001eb172130"	"green"
"Zm00001eb020200"	"green"
"Zm00001eb028980"	"salmon"
"Zm00001eb164780"	"yellow"
"Zm00001eb301010"	"turquoise"
"Zm00001eb156610"	"pink"
"Zm00001eb404830"	"green"
"Zm00001eb402570"	"blue"
"Zm00001eb049570"	"green"
"Zm00001eb038870"	"blue"
"Zm00001eb133420"	"cyan"
"Zm00001eb283450"	"salmon"
"Zm00001eb066940"	"darkorange"
"Zm00001eb223980"	"magenta"
"Zm00001eb016940"	"darkorange2"
"Zm00001eb150420"	"brown"
"Zm00001eb168910"	"magenta"
"Zm00001eb066370"	"green"
"Zm00001eb350390"	"green"
"Zm00001eb429750"	"turquoise"
"Zm00001eb361700"	"green"
"Zm00001eb346230"	"green"
"Zm00001eb109620"	"greenyellow"
"Zm00001eb295050"	"skyblue"
"Zm00001eb306380"	"tan"
"Zm00001eb154510"	"brown"
"Zm00001eb226990"	"green"
"Zm00001eb211740"	"blue"
"Zm00001eb015200"	"darkorange2"
"Zm00001eb120200"	"brown"
"Zm00001eb094610"	"turquoise"
"Zm00001eb333970"	"lightgreen"
"Zm00001eb201570"	"pink"
"Zm00001eb280740"	"magenta"
"Zm00001eb063720"	"lightyellow"
"Zm00001eb330380"	"purple"
"Zm00001eb137380"	"brown"
"Zm00001eb417480"	"purple"
"Zm00001eb289680"	"red"
"Zm00001eb128730"	"blue"
"Zm00001eb418060"	"yellow"
"Zm00001eb281840"	"darkmagenta"
"Zm00001eb429540"	"royalblue"
"Zm00001eb265900"	"tan"
"Zm00001eb330880"	"yellow"
"Zm00001eb232520"	"blue"
"Zm00001eb054980"	"pink"
"Zm00001eb070840"	"yellow"
"Zm00001eb398530"	"salmon"
"Zm00001eb255600"	"magenta"
"Zm00001eb106150"	"green"
"Zm00001eb134090"	"yellow"
"Zm00001eb330470"	"green"
"Zm00001eb162620"	"brown"
"Zm00001eb095960"	"red"
"Zm00001eb060550"	"green"
"Zm00001eb290370"	"yellow"
"Zm00001eb385410"	"red"
"Zm00001eb184470"	"pink"
"Zm00001eb004420"	"darkgreen"
"Zm00001eb173790"	"green"
"Zm00001eb199470"	"darkgrey"
"Zm00001eb352180"	"green"
"Zm00001eb208540"	"turquoise"
"Zm00001eb419110"	"purple"
"Zm00001eb006020"	"green"
"Zm00001eb375530"	"thistle2"
"Zm00001eb303110"	"greenyellow"
"Zm00001eb260710"	"blue"
"Zm00001eb199800"	"green"
"Zm00001eb354140"	"yellow"
"Zm00001eb048710"	"magenta"
"Zm00001eb407710"	"greenyellow"
"Zm00001eb349240"	"salmon"
"Zm00001eb296090"	"black"
"Zm00001eb148830"	"green"
"Zm00001eb312560"	"green"
"Zm00001eb109330"	"green"
"Zm00001eb023460"	"yellow"
"Zm00001eb229690"	"magenta"
"Zm00001eb036930"	"red"
"Zm00001eb134340"	"lightgreen"
"Zm00001eb233720"	"orangered4"
"Zm00001eb403860"	"greenyellow"
"Zm00001eb302810"	"green"
"Zm00001eb009910"	"magenta"
"Zm00001eb111910"	"yellow"
"Zm00001eb179490"	"yellow"
"Zm00001eb368990"	"green"
"Zm00001eb102590"	"yellow"
"Zm00001eb426070"	"blue"
"Zm00001eb003180"	"red"
"Zm00001eb067750"	"red"
"Zm00001eb062510"	"turquoise"
"Zm00001eb015010"	"yellow"
"Zm00001eb094250"	"purple"
"Zm00001eb400310"	"yellow"
"Zm00001eb008550"	"green"
"Zm00001eb267280"	"lightyellow"
"Zm00001eb194950"	"pink"
"Zm00001eb001430"	"turquoise"
"Zm00001eb142220"	"saddlebrown"
"Zm00001eb360190"	"greenyellow"
"Zm00001eb327790"	"green"
"Zm00001eb125560"	"black"
"Zm00001eb346100"	"red"
"Zm00001eb422490"	"green"
"Zm00001eb359420"	"black"
"Zm00001eb378030"	"brown"
"Zm00001eb343030"	"greenyellow"
"Zm00001eb188600"	"yellow"
"Zm00001eb099980"	"blue"
"Zm00001eb356000"	"grey"
"Zm00001eb104220"	"green"
"Zm00001eb041780"	"red"
"Zm00001eb403640"	"black"
"Zm00001eb116850"	"yellow"
"Zm00001eb280790"	"greenyellow"
"Zm00001eb127770"	"yellow"
"Zm00001eb415460"	"yellow"
"Zm00001eb056870"	"yellow"
"Zm00001eb260880"	"green"
"Zm00001eb122860"	"yellow"
"Zm00001eb054040"	"red"
"Zm00001eb325640"	"greenyellow"
"Zm00001eb287610"	"darkturquoise"
"Zm00001eb402790"	"green"
"Zm00001eb189920"	"lightcyan"
"Zm00001eb131360"	"green"
"Zm00001eb303010"	"green"
"Zm00001eb345740"	"greenyellow"
"Zm00001eb116280"	"green"
"Zm00001eb239380"	"grey60"
"Zm00001eb403260"	"red"
"Zm00001eb309660"	"black"
"Zm00001eb258770"	"green"
"Zm00001eb152450"	"darkorange"
"Zm00001eb227470"	"brown"
"Zm00001eb289460"	"magenta"
"Zm00001eb205270"	"brown"
"Zm00001eb246860"	"darkturquoise"
"Zm00001eb387570"	"purple"
"Zm00001eb363880"	"blue"
"Zm00001eb252720"	"red"
"Zm00001eb303030"	"brown"
"Zm00001eb369150"	"green"
"Zm00001eb113240"	"turquoise"
"Zm00001eb325230"	"yellow"
"Zm00001eb282450"	"salmon"
"Zm00001eb268050"	"pink"
"Zm00001eb136880"	"darkturquoise"
"Zm00001eb208050"	"tan"
"Zm00001eb212170"	"yellow"
"Zm00001eb034990"	"red"
"Zm00001eb174930"	"red"
"Zm00001eb249900"	"yellow"
"Zm00001eb284310"	"salmon"
"Zm00001eb143330"	"greenyellow"
"Zm00001eb063710"	"purple"
"Zm00001eb192630"	"green"
"Zm00001eb117140"	"pink"
"Zm00001eb076190"	"green"
"Zm00001eb222320"	"green"
"Zm00001eb283440"	"blue"
"Zm00001eb304540"	"blue"
"Zm00001eb200430"	"yellow"
"Zm00001eb049720"	"blue"
"Zm00001eb314490"	"floralwhite"
"Zm00001eb036530"	"blue"
"Zm00001eb012580"	"greenyellow"
"Zm00001eb291810"	"pink"
"Zm00001eb327330"	"green"
"Zm00001eb389540"	"salmon"
"Zm00001eb389420"	"yellow"
"Zm00001eb138410"	"green"
"Zm00001eb141930"	"greenyellow"
"Zm00001eb137240"	"blue"
"Zm00001eb219570"	"green"
"Zm00001eb163250"	"turquoise"
"Zm00001eb157400"	"blue"
"Zm00001eb143460"	"pink"
"Zm00001eb149730"	"green"
"Zm00001eb399010"	"green"
"Zm00001eb149860"	"yellow"
"Zm00001eb038370"	"pink"
"Zm00001eb086560"	"paleturquoise"
"Zm00001eb105120"	"green"
"Zm00001eb064120"	"blue"
"Zm00001eb340350"	"salmon"
"Zm00001eb124390"	"turquoise"
"Zm00001eb222880"	"darkgreen"
"Zm00001eb062420"	"yellow"
"Zm00001eb023070"	"lightyellow"
"Zm00001eb127430"	"green"
"Zm00001eb224900"	"yellow"
"Zm00001eb253820"	"turquoise"
"Zm00001eb409500"	"green"
"Zm00001eb385150"	"green"
"Zm00001eb121880"	"blue"
"Zm00001eb312080"	"turquoise"
"Zm00001eb172230"	"red"
"Zm00001eb241550"	"turquoise"
"Zm00001eb099930"	"lightsteelblue1"
"Zm00001eb160010"	"blue"
"Zm00001eb116930"	"salmon"
"Zm00001eb202400"	"turquoise"
"Zm00001eb421170"	"blue"
"Zm00001eb077840"	"green"
"Zm00001eb351330"	"green"
"Zm00001eb104400"	"lightyellow"
"Zm00001eb231220"	"green"
"Zm00001eb243040"	"green"
"Zm00001eb373990"	"green"
"Zm00001eb121480"	"green"
"Zm00001eb091900"	"green"
"Zm00001eb292930"	"darkorange"
"Zm00001eb253470"	"red"
"Zm00001eb376740"	"magenta"
"Zm00001eb245950"	"greenyellow"
"Zm00001eb085030"	"pink"
"Zm00001eb373790"	"green"
"Zm00001eb107040"	"lightcyan"
"Zm00001eb086050"	"green"
"Zm00001eb137840"	"salmon4"
"Zm00001eb219770"	"purple"
"Zm00001eb380260"	"brown"
"Zm00001eb177450"	"turquoise"
"Zm00001eb007860"	"green"
"Zm00001eb056390"	"magenta"
"Zm00001eb203470"	"yellow"
"Zm00001eb430770"	"blue"
"Zm00001eb231250"	"turquoise"
"Zm00001eb187010"	"turquoise"
"Zm00001eb191550"	"green"
"Zm00001eb047170"	"pink"
"Zm00001eb118030"	"pink"
"Zm00001eb157850"	"black"
"Zm00001eb328760"	"pink"
"Zm00001eb343830"	"green"
"Zm00001eb224430"	"red"
"Zm00001eb143000"	"red"
"Zm00001eb352080"	"brown"
"Zm00001eb028030"	"turquoise"
"Zm00001eb192570"	"white"
"Zm00001eb061820"	"turquoise"
"Zm00001eb139130"	"yellow"
"Zm00001eb160620"	"yellow"
"Zm00001eb352350"	"yellow"
"Zm00001eb210720"	"yellow"
"Zm00001eb203340"	"green"
"Zm00001eb209000"	"salmon"
"Zm00001eb336090"	"yellow"
"Zm00001eb025690"	"midnightblue"
"Zm00001eb394540"	"green"
"Zm00001eb204910"	"green"
"Zm00001eb376020"	"lightgreen"
"Zm00001eb094520"	"magenta"
"Zm00001eb153940"	"magenta"
"Zm00001eb418910"	"yellow"
"Zm00001eb397580"	"turquoise"
"Zm00001eb314220"	"brown"
"Zm00001eb322940"	"green"
"Zm00001eb020110"	"salmon"
"Zm00001eb222240"	"green"
"Zm00001eb409450"	"grey"
"Zm00001eb148000"	"blue"
"Zm00001eb178320"	"lightcyan"
"Zm00001eb238930"	"green"
"Zm00001eb204260"	"greenyellow"
"Zm00001eb163530"	"magenta"
"Zm00001eb212030"	"green"
"Zm00001eb176000"	"green"
"Zm00001eb368000"	"purple"
"Zm00001eb013900"	"green"
"Zm00001eb296580"	"green"
"Zm00001eb095230"	"green"
"Zm00001eb038510"	"turquoise"
"Zm00001eb008610"	"green"
"Zm00001eb288340"	"yellow"
"Zm00001eb421600"	"red"
"Zm00001eb183420"	"green"
"Zm00001eb236450"	"yellow"
"Zm00001eb343680"	"magenta"
"Zm00001eb040890"	"darkorange"
"Zm00001eb265890"	"red"
"Zm00001eb070130"	"green"
"Zm00001eb359540"	"tan"
"Zm00001eb369750"	"plum1"
"Zm00001eb294030"	"blue"
"Zm00001eb101990"	"tan"
"Zm00001eb032340"	"turquoise"
"Zm00001eb121370"	"pink"
"Zm00001eb413370"	"turquoise"
"Zm00001eb127460"	"turquoise"
"Zm00001eb175220"	"green"
"Zm00001eb295490"	"magenta"
"Zm00001eb301680"	"green"
"Zm00001eb375180"	"yellow"
"Zm00001eb079220"	"tan"
"Zm00001eb252830"	"green"
"Zm00001eb067960"	"purple"
"Zm00001eb313690"	"paleturquoise"
"Zm00001eb046340"	"green"
"Zm00001eb285090"	"salmon"
"Zm00001eb330550"	"greenyellow"
"Zm00001eb246330"	"green"
"Zm00001eb060250"	"red"
"Zm00001eb394700"	"brown4"
"Zm00001eb252630"	"yellow"
"Zm00001eb063800"	"brown"
"Zm00001eb373120"	"greenyellow"
"Zm00001eb056930"	"yellow"
"Zm00001eb034130"	"purple"
"Zm00001eb392290"	"green"
"Zm00001eb400220"	"tan"
"Zm00001eb331200"	"blue"
"Zm00001eb269650"	"salmon"
"Zm00001eb106680"	"pink"
"Zm00001eb294990"	"red"
"Zm00001eb390190"	"pink"
"Zm00001eb202910"	"green"
"Zm00001eb349010"	"magenta"
"Zm00001eb133140"	"salmon"
"Zm00001eb240870"	"black"
"Zm00001eb211090"	"green"
"Zm00001eb258730"	"greenyellow"
"Zm00001eb078040"	"tan"
"Zm00001eb299550"	"blue"
"Zm00001eb055550"	"blue"
"Zm00001eb013990"	"steelblue"
"Zm00001eb246350"	"lightyellow"
"Zm00001eb396650"	"green"
"Zm00001eb364190"	"yellow"
"Zm00001eb374670"	"magenta"
"Zm00001eb076120"	"yellow"
"Zm00001eb002060"	"yellow"
"Zm00001eb042750"	"turquoise"
"Zm00001eb055330"	"lightyellow"
"Zm00001eb274110"	"yellow"
"Zm00001eb417240"	"greenyellow"
"Zm00001eb015330"	"green"
"Zm00001eb167340"	"cyan"
"Zm00001eb323620"	"pink"
"Zm00001eb433350"	"yellow"
"Zm00001eb038410"	"magenta"
"Zm00001eb125460"	"tan"
"Zm00001eb002620"	"red"
"Zm00001eb324390"	"blue"
"Zm00001eb393130"	"brown"
"Zm00001eb332210"	"red"
"Zm00001eb007730"	"lightyellow"
"Zm00001eb296060"	"lightyellow"
"Zm00001eb195000"	"orangered4"
"Zm00001eb362020"	"blue"
"Zm00001eb041140"	"purple"
"Zm00001eb279480"	"ivory"
"Zm00001eb323810"	"tan"
"Zm00001eb339270"	"green"
"Zm00001eb239300"	"saddlebrown"
"Zm00001eb218000"	"greenyellow"
"Zm00001eb401700"	"green"
"Zm00001eb079170"	"skyblue3"
"Zm00001eb041200"	"yellow"
"Zm00001eb235880"	"yellow"
"Zm00001eb330530"	"greenyellow"
"Zm00001eb323490"	"black"
"Zm00001eb139860"	"darkorange"
"Zm00001eb355240"	"lightcyan"
"Zm00001eb234390"	"tan"
"Zm00001eb293540"	"green"
"Zm00001eb116230"	"magenta"
"Zm00001eb082670"	"brown"
"Zm00001eb254200"	"blue"
"Zm00001eb147170"	"green"
"Zm00001eb328850"	"darkmagenta"
"Zm00001eb324850"	"lightgreen"
"Zm00001eb024280"	"green"
"Zm00001eb280120"	"red"
"Zm00001eb000340"	"saddlebrown"
"Zm00001eb288200"	"yellow"
"Zm00001eb185220"	"blue"
"Zm00001eb178190"	"brown"
"Zm00001eb258320"	"turquoise"
"Zm00001eb010030"	"midnightblue"
"Zm00001eb176160"	"red"
"Zm00001eb230780"	"green"
"Zm00001eb294870"	"turquoise"
"Zm00001eb272290"	"purple"
"Zm00001eb219320"	"blue"
"Zm00001eb233530"	"green"
"Zm00001eb004660"	"brown"
"Zm00001eb159790"	"green"
"Zm00001eb013490"	"tan"
"Zm00001eb018990"	"green"
"Zm00001eb207390"	"blue"
"Zm00001eb260960"	"green"
"Zm00001eb124750"	"turquoise"
"Zm00001eb398860"	"yellow"
"Zm00001eb296120"	"blue"
"Zm00001eb302330"	"darkgrey"
"Zm00001eb265610"	"orange"
"Zm00001eb137280"	"turquoise"
"Zm00001eb154790"	"red"
"Zm00001eb200810"	"black"
"Zm00001eb329270"	"yellow"
"Zm00001eb012270"	"black"
"Zm00001eb072880"	"greenyellow"
"Zm00001eb015210"	"pink"
"Zm00001eb289210"	"sienna3"
"Zm00001eb324510"	"green"
"Zm00001eb368480"	"yellow"
"Zm00001eb058150"	"green"
"Zm00001eb110650"	"lightyellow"
"Zm00001eb431990"	"darkolivegreen"
"Zm00001eb216210"	"yellow"
"Zm00001eb214650"	"red"
"Zm00001eb317810"	"purple"
"Zm00001eb191930"	"pink"
"Zm00001eb269610"	"salmon"
"Zm00001eb151050"	"green"
"Zm00001eb005960"	"yellow"
"Zm00001eb267140"	"pink"
"Zm00001eb264880"	"purple"
"Zm00001eb320510"	"green"
"Zm00001eb205160"	"green"
"Zm00001eb157310"	"plum1"
"Zm00001eb321600"	"red"
"Zm00001eb060260"	"purple"
"Zm00001eb093610"	"green"
"Zm00001eb332290"	"black"
"Zm00001eb026200"	"thistle2"
"Zm00001eb340720"	"green"
"Zm00001eb013840"	"yellow"
"Zm00001eb425830"	"violet"
"Zm00001eb009920"	"green"
"Zm00001eb271550"	"saddlebrown"
"Zm00001eb055880"	"red"
"Zm00001eb336310"	"blue"
"Zm00001eb302140"	"turquoise"
"Zm00001eb132880"	"purple"
"Zm00001eb418160"	"salmon"
"Zm00001eb202580"	"green"
"Zm00001eb011050"	"brown"
"Zm00001eb332520"	"green"
"Zm00001eb058950"	"green"
"Zm00001eb244120"	"salmon"
"Zm00001eb168430"	"blue"
"Zm00001eb188040"	"green"
"Zm00001eb323510"	"darkorange"
"Zm00001eb429480"	"grey60"
"Zm00001eb432500"	"red"
"Zm00001eb059230"	"greenyellow"
"Zm00001eb346120"	"tan"
"Zm00001eb286210"	"green"
"Zm00001eb094220"	"pink"
"Zm00001eb087050"	"salmon"
"Zm00001eb078350"	"blue"
"Zm00001eb362250"	"green"
"Zm00001eb283870"	"red"
"Zm00001eb130500"	"salmon"
"Zm00001eb150320"	"darkorange"
"Zm00001eb175100"	"red"
"Zm00001eb151280"	"yellow"
"Zm00001eb057580"	"greenyellow"
"Zm00001eb008700"	"brown"
"Zm00001eb224520"	"green"
"Zm00001eb082960"	"green"
"Zm00001eb351270"	"pink"
"Zm00001eb425860"	"salmon"
"Zm00001eb332160"	"greenyellow"
"Zm00001eb213260"	"greenyellow"
"Zm00001eb037570"	"greenyellow"
"Zm00001eb281810"	"green"
"Zm00001eb382240"	"magenta"
"Zm00001eb067710"	"turquoise"
"Zm00001eb218400"	"red"
"Zm00001eb254080"	"darkorange"
"Zm00001eb294690"	"pink"
"Zm00001eb309910"	"black"
"Zm00001eb288150"	"red"
"Zm00001eb305710"	"turquoise"
"Zm00001eb398590"	"magenta"
"Zm00001eb239390"	"magenta"
"Zm00001eb368940"	"yellow"
"Zm00001eb077130"	"brown"
"Zm00001eb369660"	"green"
"Zm00001eb035640"	"red"
"Zm00001eb378210"	"greenyellow"
"Zm00001eb140430"	"pink"
"Zm00001eb339850"	"grey60"
"Zm00001eb146770"	"green"
"Zm00001eb237390"	"black"
"Zm00001eb096130"	"saddlebrown"
"Zm00001eb281710"	"green"
"Zm00001eb309260"	"midnightblue"
"Zm00001eb258170"	"green"
"Zm00001eb369310"	"blue"
"Zm00001eb143710"	"greenyellow"
"Zm00001eb123540"	"blue"
"Zm00001eb368060"	"blue"
"Zm00001eb153170"	"magenta"
"Zm00001eb415530"	"lightyellow"
"Zm00001eb209960"	"green"
"Zm00001eb402880"	"red"
"Zm00001eb142730"	"blue"
"Zm00001eb266840"	"purple"
"Zm00001eb271900"	"blue"
"Zm00001eb011020"	"yellow"
"Zm00001eb307060"	"red"
"Zm00001eb047980"	"lightyellow"
"Zm00001eb172200"	"blue"
"Zm00001eb107490"	"green"
"Zm00001eb011800"	"green"
"Zm00001eb344820"	"brown"
"Zm00001eb000480"	"pink"
"Zm00001eb330180"	"turquoise"
"Zm00001eb430450"	"blue"
"Zm00001eb333190"	"yellow"
"Zm00001eb194410"	"midnightblue"
"Zm00001eb000450"	"pink"
"Zm00001eb170610"	"blue"
"Zm00001eb067700"	"brown"
"Zm00001eb406570"	"turquoise"
"Zm00001eb037680"	"green"
"Zm00001eb208030"	"purple"
"Zm00001eb346040"	"green"
"Zm00001eb061060"	"red"
"Zm00001eb291850"	"royalblue"
"Zm00001eb074210"	"turquoise"
"Zm00001eb347380"	"green"
"Zm00001eb225010"	"green"
"Zm00001eb011010"	"yellow"
"Zm00001eb128890"	"green"
"Zm00001eb237050"	"green"
"Zm00001eb010810"	"thistle2"
"Zm00001eb216020"	"green"
"Zm00001eb373960"	"black"
"Zm00001eb082850"	"green"
"Zm00001eb292340"	"green"
"Zm00001eb356140"	"blue"
"Zm00001eb374470"	"red"
"Zm00001eb401990"	"cyan"
"Zm00001eb150560"	"brown"
"Zm00001eb197870"	"lightgreen"
"Zm00001eb317710"	"blue"
"Zm00001eb131070"	"pink"
"Zm00001eb298950"	"green"
"Zm00001eb014760"	"green"
