ENSEMBL_GeneID	C_24_Tol	T_24_Tol
Zm00001eb156610	10548	14266
Zm00001eb404830	12654	10613
Zm00001eb402570	14498	13880
Zm00001eb049570	12464	13926
Zm00001eb038870	13386	11156
Zm00001eb133420	12167	10624
Zm00001eb283450	17453	5061
Zm00001eb066940	11257	9815
Zm00001eb223980	10015	8219
Zm00001eb016940	11089	9672
Zm00001eb150420	7091	8648
Zm00001eb168910	10130	9351
Zm00001eb066370	11287	6551
Zm00001eb350390	11813	10380
Zm00001eb429750	2479	1545
Zm00001eb361700	12537	12732
Zm00001eb346230	12475	11792
Zm00001eb109620	11415	9495
Zm00001eb295050	8084	8910
Zm00001eb306380	12858	4785
Zm00001eb154510	10529	9339
Zm00001eb226990	12277	14109
Zm00001eb211740	10235	7320
Zm00001eb015200	10520	6915
Zm00001eb120200	12918	9993
Zm00001eb094610	6958	5208
Zm00001eb333970	10931	11538
Zm00001eb201570	10222	10541
Zm00001eb280740	12687	8461
Zm00001eb063720	10889	8694
Zm00001eb330380	9494	9173
Zm00001eb137380	13165	8230
Zm00001eb417480	13459	7511
Zm00001eb289680	11329	11289
Zm00001eb128730	7592	3971
Zm00001eb418060	9719	8436
Zm00001eb281840	8773	9820
Zm00001eb429540	13744	8782
Zm00001eb265900	10185	7509
Zm00001eb330880	10531	8549
Zm00001eb232520	13661	11803
Zm00001eb054980	9578	9578
Zm00001eb070840	11963	8206
Zm00001eb398530	9678	9084
Zm00001eb255600	10161	9925
Zm00001eb106150	10578	12077
Zm00001eb134090	8735	8357
Zm00001eb330470	10620	11804
Zm00001eb162620	15832	8975
Zm00001eb095960	11288	11121
Zm00001eb060550	12140	11227
Zm00001eb290370	6543	9551
Zm00001eb385410	10927	8154
Zm00001eb184470	4569	18228
Zm00001eb004420	9815	9279
Zm00001eb173790	10974	11809
Zm00001eb199470	13208	5626
Zm00001eb352180	11626	11436
Zm00001eb208540	7377	6301
Zm00001eb419110	10706	9113
Zm00001eb006020	14454	7655
Zm00001eb375530	10679	9341
Zm00001eb303110	10352	6378
Zm00001eb260710	6724	5550
Zm00001eb199800	11156	10429
Zm00001eb354140	8786	8337
Zm00001eb048710	13142	9018
Zm00001eb407710	5511	5031
Zm00001eb349240	9604	8484
Zm00001eb296090	20680	13206
Zm00001eb148830	11680	10433
Zm00001eb312560	10924	11615
Zm00001eb109330	10325	11123
Zm00001eb023460	13056	7411
Zm00001eb229690	9928	8221
Zm00001eb036930	11690	5703
Zm00001eb134340	6685	11510
Zm00001eb233720	13195	5018
Zm00001eb403860	13552	8314
Zm00001eb302810	11115	9842
Zm00001eb009910	10754	7930
Zm00001eb111910	9976	9234
Zm00001eb179490	9039	9989
Zm00001eb368990	8187	10468
Zm00001eb102590	11401	7405
Zm00001eb426070	10884	10231
Zm00001eb003180	11631	10046
Zm00001eb067750	7980	6672
Zm00001eb062510	9547	6527
Zm00001eb015010	8403	7855
Zm00001eb094250	9933	8042
Zm00001eb400310	8596	9106
Zm00001eb008550	9336	9886
Zm00001eb267280	9262	8037
Zm00001eb194950	9235	9160
Zm00001eb001430	11759	8504
Zm00001eb142220	6444	6362
Zm00001eb360190	9436	7176
Zm00001eb327790	10750	10380
Zm00001eb125560	6121	9422
Zm00001eb346100	11095	8981
Zm00001eb422490	9085	10383
Zm00001eb359420	8083	6255
Zm00001eb378030	14841	7545
Zm00001eb343030	5686	7115
Zm00001eb188600	9101	8326
Zm00001eb099980	7143	17588
Zm00001eb356000	10789	6994
Zm00001eb104220	11156	11320
Zm00001eb041780	10026	8286
Zm00001eb403640	14062	8967
Zm00001eb116850	7971	8376
Zm00001eb280790	7961	6889
Zm00001eb127770	4653	9014
Zm00001eb415460	8092	7356
Zm00001eb056870	5781	5063
Zm00001eb260880	10505	9323
Zm00001eb122860	7715	6170
Zm00001eb054040	9879	4258
Zm00001eb325640	6543	4393
Zm00001eb287610	10154	8405
Zm00001eb402790	11597	12018
Zm00001eb189920	8800	10385
Zm00001eb131360	8546	10345
Zm00001eb303010	9834	8358
Zm00001eb345740	8344	6242
Zm00001eb116280	8618	8216
Zm00001eb239380	6433	3725
Zm00001eb403260	9216	5272
Zm00001eb309660	8722	7522
Zm00001eb258770	8894	8569
Zm00001eb152450	7969	7795
Zm00001eb227470	8658	8027
Zm00001eb289460	8209	7739
Zm00001eb205270	10753	7728
Zm00001eb246860	9475	7683
Zm00001eb387570	9885	5313
Zm00001eb363880	7430	5634
Zm00001eb252720	8366	4214
Zm00001eb303030	7057	6771
Zm00001eb369150	8681	8123
Zm00001eb113240	10109	8061
Zm00001eb325230	8718	6246
Zm00001eb282450	8455	10295
Zm00001eb268050	9105	9037
Zm00001eb136880	9612	7026
Zm00001eb208050	9064	8182
Zm00001eb212170	8817	8140
Zm00001eb034990	8193	7769
Zm00001eb174930	9560	8924
Zm00001eb249900	10347	6589
Zm00001eb284310	8301	7141
Zm00001eb143330	10293	8123
Zm00001eb063710	9698	5988
Zm00001eb192630	8872	9406
Zm00001eb117140	8738	8887
Zm00001eb076190	9594	8379
Zm00001eb222320	9066	8510
Zm00001eb283440	5327	3432
Zm00001eb304540	15282	16750
Zm00001eb200430	6556	5674
Zm00001eb049720	10415	11264
Zm00001eb314490	9583	7140
Zm00001eb036530	11082	10711
Zm00001eb012580	7742	6803
Zm00001eb291810	6753	10139
Zm00001eb327330	8870	9709
Zm00001eb389540	5405	11145
Zm00001eb389420	8159	6020
Zm00001eb138410	8745	7678
Zm00001eb141930	5093	5067
Zm00001eb137240	8463	7908
Zm00001eb219570	8220	7761
Zm00001eb163250	10110	7354
Zm00001eb157400	10664	8379
Zm00001eb143460	5665	8253
Zm00001eb149730	9641	7201
Zm00001eb399010	8142	9290
Zm00001eb149860	8021	7694
Zm00001eb038370	8149	7525
Zm00001eb086560	9550	6064
Zm00001eb105120	8479	9656
Zm00001eb064120	5155	4833
Zm00001eb340350	8019	8489
Zm00001eb124390	8578	6832
Zm00001eb222880	6815	6490
Zm00001eb062420	9392	6827
Zm00001eb023070	8565	5005
Zm00001eb127430	9529	9627
Zm00001eb224900	8192	7301
Zm00001eb253820	6893	3218
Zm00001eb409500	8540	8250
Zm00001eb385150	9528	8980
Zm00001eb121880	10875	7854
Zm00001eb312080	551	582
Zm00001eb172230	8219	4422
Zm00001eb241550	10855	9775
Zm00001eb099930	12332	8741
Zm00001eb160010	17954	14551
Zm00001eb116930	5366	8170
Zm00001eb202400	6113	4516
Zm00001eb421170	6888	5067
Zm00001eb077840	8497	7512
Zm00001eb351330	9698	8864
Zm00001eb104400	7242	7224
Zm00001eb231220	8003	8029
Zm00001eb243040	7975	2923
Zm00001eb373990	10173	8070
Zm00001eb121480	9137	8865
Zm00001eb091900	8853	8061
Zm00001eb292930	7979	6480
Zm00001eb253470	8661	5578
Zm00001eb376740	8458	6812
Zm00001eb245950	7172	6251
Zm00001eb085030	7525	7810
Zm00001eb373790	8703	9415
Zm00001eb107040	9099	6060
Zm00001eb086050	9169	8508
Zm00001eb137840	7346	7845
Zm00001eb219770	6984	6279
Zm00001eb380260	11190	6577
Zm00001eb177450	5495	4061
Zm00001eb007860	9213	8343
Zm00001eb056390	8859	6430
Zm00001eb203470	6069	6729
Zm00001eb430770	8747	8855
Zm00001eb231250	9154	5513
Zm00001eb187010	4213	2580
Zm00001eb191550	9035	8774
Zm00001eb047170	8110	6989
Zm00001eb118030	7314	8518
Zm00001eb157850	6608	6477
Zm00001eb328760	5692	8016
Zm00001eb343830	8385	9055
Zm00001eb224430	6353	6666
Zm00001eb143000	7982	7145
Zm00001eb352080	6802	6291
Zm00001eb028030	4652	4826
Zm00001eb192570	7542	6145
Zm00001eb061820	6304	6434
Zm00001eb139130	9603	5251
Zm00001eb160620	5768	5939
Zm00001eb352350	4799	5108
Zm00001eb210720	7544	7692
Zm00001eb203340	7584	6961
Zm00001eb209000	6789	6623
Zm00001eb336090	9399	6368
Zm00001eb025690	4970	2122
Zm00001eb394540	7585	7231
Zm00001eb204910	8317	7660
Zm00001eb376020	7773	6668
Zm00001eb094520	7924	5525
Zm00001eb153940	8117	6611
Zm00001eb418910	7914	5634
Zm00001eb397580	11093	6784
Zm00001eb314220	7781	6401
Zm00001eb322940	7607	7767
Zm00001eb020110	7002	6887
Zm00001eb222240	8056	8227
Zm00001eb409450	8142	5168
Zm00001eb148000	8291	10755
Zm00001eb178320	7625	3801
Zm00001eb238930	8438	7427
Zm00001eb204260	6978	6132
Zm00001eb163530	9410	4616
Zm00001eb212030	8866	8118
Zm00001eb176000	8533	8033
Zm00001eb368000	12265	4367
Zm00001eb013900	7493	7690
Zm00001eb296580	7249	8733
Zm00001eb095230	6637	7545
Zm00001eb038510	8647	7067
Zm00001eb008610	7371	6785
Zm00001eb288340	6222	5818
Zm00001eb421600	9362	6568
Zm00001eb183420	8214	8752
Zm00001eb236450	7085	5631
Zm00001eb343680	7865	4857
Zm00001eb040890	8895	4842
Zm00001eb265890	6108	5295
Zm00001eb070130	7441	6983
Zm00001eb359540	6973	6312
Zm00001eb369750	6985	4671
Zm00001eb294030	10508	6395
Zm00001eb101990	9208	7535
Zm00001eb032340	7763	7358
Zm00001eb121370	6842	6162
Zm00001eb413370	6130	5208
Zm00001eb127460	4345	5433
Zm00001eb175220	7696	7233
Zm00001eb295490	7330	4849
Zm00001eb301680	6744	4177
Zm00001eb375180	6814	6207
Zm00001eb079220	7366	6884
Zm00001eb252830	8258	7920
Zm00001eb067960	8120	5445
Zm00001eb313690	9101	5316
Zm00001eb046340	7934	8329
Zm00001eb285090	6281	6424
Zm00001eb330550	6623	4871
Zm00001eb246330	7407	6920
Zm00001eb060250	6911	6308
Zm00001eb394700	7782	6054
Zm00001eb252630	7456	5993
Zm00001eb063800	9406	5255
Zm00001eb373120	5660	4158
Zm00001eb056930	6476	6241
Zm00001eb034130	11911	3827
Zm00001eb392290	7859	7629
Zm00001eb400220	7188	7646
Zm00001eb331200	7016	6036
Zm00001eb269650	9765	5263
Zm00001eb106680	7148	7027
Zm00001eb294990	7796	6666
Zm00001eb390190	6920	6189
Zm00001eb202910	7412	6388
Zm00001eb349010	7610	5149
Zm00001eb133140	6297	6640
Zm00001eb240870	10582	6877
Zm00001eb211090	7521	7017
Zm00001eb258730	9052	7507
Zm00001eb078040	7290	6705
Zm00001eb299550	6320	4337
Zm00001eb055550	9368	6501
Zm00001eb013990	7377	3873
Zm00001eb246350	6078	5076
Zm00001eb396650	7845	7636
Zm00001eb364190	5352	5527
Zm00001eb374670	7860	6107
Zm00001eb076120	6017	5339
Zm00001eb002060	5174	5757
Zm00001eb042750	5476	4430
Zm00001eb055330	7091	5235
Zm00001eb274110	6527	5578
Zm00001eb417240	4931	2576
Zm00001eb015330	7320	7669
Zm00001eb167340	4200	7209
Zm00001eb323620	6036	5828
Zm00001eb433350	6210	5712
Zm00001eb038410	8256	5556
Zm00001eb125460	7017	7044
Zm00001eb002620	6070	5688
Zm00001eb324390	5999	5103
Zm00001eb393130	6431	5306
Zm00001eb332210	6043	5520
Zm00001eb007730	6578	5622
Zm00001eb296060	3484	5044
Zm00001eb195000	7952	4909
Zm00001eb362020	7369	7097
Zm00001eb041140	6163	4871
Zm00001eb279480	8191	4053
Zm00001eb323810	6755	7099
Zm00001eb339270	8340	7762
Zm00001eb239300	6930	4944
Zm00001eb218000	6315	3519
Zm00001eb401700	8170	6900
Zm00001eb079170	7771	4424
Zm00001eb041200	4814	5273
Zm00001eb235880	6421	6359
Zm00001eb330530	5507	3148
Zm00001eb323490	9231	5667
Zm00001eb139860	6549	6187
Zm00001eb355240	2979	3567
Zm00001eb234390	7460	7130
Zm00001eb293540	6966	6756
Zm00001eb116230	10846	3625
Zm00001eb082670	6217	5499
Zm00001eb254200	6796	7175
Zm00001eb147170	7645	7705
Zm00001eb328850	6367	5679
Zm00001eb324850	7288	6927
Zm00001eb024280	7004	7412
Zm00001eb280120	7199	5308
Zm00001eb000340	7953	6007
Zm00001eb288200	6016	5648
Zm00001eb185220	8706	8869
Zm00001eb178190	7616	4937
Zm00001eb258320	7380	5744
Zm00001eb010030	7182	4651
Zm00001eb176160	4030	2440
Zm00001eb230780	6671	7545
Zm00001eb294870	1811	989
Zm00001eb272290	7603	3021
Zm00001eb219320	9463	9933
Zm00001eb233530	2413	6103
Zm00001eb004660	5733	4957
Zm00001eb159790	7157	6238
Zm00001eb013490	6971	5902
Zm00001eb018990	7691	6191
Zm00001eb207390	8137	6497
Zm00001eb260960	7150	6524
Zm00001eb124750	2631	2412
Zm00001eb398860	6503	6101
Zm00001eb296120	6118	4640
Zm00001eb302330	6824	5133
Zm00001eb265610	3636	4178
Zm00001eb137280	176	58
Zm00001eb154790	5264	2503
Zm00001eb200810	5575	6565
Zm00001eb329270	6025	5417
Zm00001eb012270	4207	3938
Zm00001eb072880	8037	5924
Zm00001eb015210	3338	6690
Zm00001eb289210	6363	5605
Zm00001eb324510	6687	6940
Zm00001eb368480	5195	4696
Zm00001eb058150	6235	9222
Zm00001eb110650	6241	5000
Zm00001eb431990	7206	4015
Zm00001eb216210	6316	5663
Zm00001eb214650	7019	5420
Zm00001eb317810	6634	4652
Zm00001eb191930	6439	5414
Zm00001eb269610	6482	5929
Zm00001eb151050	6794	6661
Zm00001eb005960	5798	5537
Zm00001eb267140	5644	5598
Zm00001eb264880	5465	4946
Zm00001eb320510	7075	5553
Zm00001eb205160	6499	7520
Zm00001eb157310	5768	3926
Zm00001eb321600	7635	5012
Zm00001eb060260	6225	6044
Zm00001eb093610	6646	5784
Zm00001eb332290	9053	4256
Zm00001eb026200	6844	5156
Zm00001eb340720	7318	4615
Zm00001eb013840	5993	5232
Zm00001eb425830	5441	5893
Zm00001eb009920	6873	6524
Zm00001eb271550	6559	5293
Zm00001eb055880	4271	4497
Zm00001eb336310	9371	6566
Zm00001eb302140	6475	4742
Zm00001eb132880	6265	5088
Zm00001eb418160	5723	5765
Zm00001eb202580	6122	6302
Zm00001eb011050	5286	5787
Zm00001eb332520	8230	6148
Zm00001eb058950	6566	5379
Zm00001eb244120	7475	3977
Zm00001eb168430	6505	6393
Zm00001eb188040	6072	6303
Zm00001eb323510	5572	5462
Zm00001eb429480	3183	3729
Zm00001eb432500	3548	3174
Zm00001eb059230	5521	3977
Zm00001eb346120	6059	4832
Zm00001eb286210	6659	6098
Zm00001eb094220	6176	5247
Zm00001eb087050	4629	7025
Zm00001eb078350	6586	7260
Zm00001eb362250	6563	6178
Zm00001eb283870	6501	4920
Zm00001eb130500	9861	4995
Zm00001eb150320	6434	5234
Zm00001eb175100	6515	5593
Zm00001eb151280	4572	3405
Zm00001eb057580	4417	3482
Zm00001eb008700	5972	5319
Zm00001eb224520	6390	6346
Zm00001eb082960	7105	6070
Zm00001eb351270	5660	6672
Zm00001eb425860	5672	5206
Zm00001eb332160	5403	3316
Zm00001eb213260	5924	3481
Zm00001eb037570	3941	2478
Zm00001eb281810	6655	6251
Zm00001eb382240	6227	4800
Zm00001eb067710	5835	4808
Zm00001eb218400	5058	2441
Zm00001eb254080	6742	4969
Zm00001eb294690	7388	2407
Zm00001eb309910	4434	4708
Zm00001eb288150	4618	2508
Zm00001eb305710	5059	4541
Zm00001eb398590	5588	4999
Zm00001eb239390	7138	4940
Zm00001eb368940	5531	5504
Zm00001eb077130	4199	1990
Zm00001eb369660	6975	7102
Zm00001eb035640	6645	3771
Zm00001eb378210	3098	3799
Zm00001eb140430	5380	6055
Zm00001eb339850	3583	6442
Zm00001eb146770	6091	6595
Zm00001eb237390	5459	4421
Zm00001eb096130	6959	5648
Zm00001eb281710	6674	6542
Zm00001eb309260	7860	5865
Zm00001eb258170	6215	5703
Zm00001eb369310	6935	6620
Zm00001eb143710	6674	4884
Zm00001eb123540	7356	6184
Zm00001eb368060	4832	4073
Zm00001eb153170	7669	4225
Zm00001eb415530	6073	4795
Zm00001eb209960	7191	5418
Zm00001eb402880	6484	5464
Zm00001eb142730	3635	3175
Zm00001eb266840	7037	3762
Zm00001eb271900	6986	6338
Zm00001eb011020	4260	3978
Zm00001eb307060	7763	5012
Zm00001eb047980	5669	4299
Zm00001eb172200	6451	6031
Zm00001eb107490	6922	5301
Zm00001eb011800	6595	5134
Zm00001eb344820	6077	5462
Zm00001eb000480	6138	5854
Zm00001eb330180	7017	5124
Zm00001eb430450	8033	8599
Zm00001eb333190	4071	3906
Zm00001eb194410	6955	7735
Zm00001eb000450	3528	5477
Zm00001eb170610	7244	8206
Zm00001eb067700	6076	4891
Zm00001eb406570	2975	2675
Zm00001eb037680	5973	5387
Zm00001eb208030	8270	3787
Zm00001eb346040	5565	5521
Zm00001eb061060	2878	2491
Zm00001eb291850	7871	4020
Zm00001eb074210	4386	2964
Zm00001eb347380	7062	5605
Zm00001eb225010	5887	6046
Zm00001eb011010	5756	4838
Zm00001eb128890	5177	6216
Zm00001eb237050	6044	5288
Zm00001eb010810	5499	4739
Zm00001eb216020	3814	5403
Zm00001eb373960	8686	5636
Zm00001eb082850	6222	7326
Zm00001eb292340	5845	5572
Zm00001eb356140	7462	6562
Zm00001eb374470	5807	4597
Zm00001eb401990	6264	5353
Zm00001eb150560	4677	4669
Zm00001eb197870	7527	1488
Zm00001eb317710	6082	5127
Zm00001eb131070	5154	5169
Zm00001eb298950	5867	6004
Zm00001eb014760	6732	6341
Zm00001eb400330	4889	4454
Zm00001eb180670	5632	5678
Zm00001eb296550	5918	4928
Zm00001eb111420	8670	5105
Zm00001eb411320	6942	5036
Zm00001eb321790	5469	4149
Zm00001eb279430	4453	4680
Zm00001eb177270	6394	5793
Zm00001eb292100	5190	5939
Zm00001eb076600	4659	2743
Zm00001eb111720	6307	6405
Zm00001eb003490	6353	5913
Zm00001eb061190	5829	4658
Zm00001eb356490	7362	5605
Zm00001eb154530	5688	5484
Zm00001eb243180	4838	3034
Zm00001eb036750	5351	4903
Zm00001eb161770	4198	3654
Zm00001eb302400	4960	6193
Zm00001eb421460	5279	5957
Zm00001eb425920	5848	5612
Zm00001eb051800	5905	4528
Zm00001eb343900	11360	9662
Zm00001eb160020	4609	3223
Zm00001eb188910	5261	4732
Zm00001eb003930	5104	4590
Zm00001eb091870	6154	5647
Zm00001eb289740	6546	3724
Zm00001eb124340	6340	4390
Zm00001eb257760	5363	4512
Zm00001eb373290	4147	4158
Zm00001eb306260	5493	5127
Zm00001eb071540	5972	5862
Zm00001eb307070	6777	4422
Zm00001eb258880	4714	3775
Zm00001eb099910	6166	4861
Zm00001eb361610	4597	3631
Zm00001eb369050	6066	4049
Zm00001eb209760	2620	6461
Zm00001eb201330	5613	5157
Zm00001eb243130	7747	2439
Zm00001eb329150	4783	4891
Zm00001eb290920	4798	4791
Zm00001eb083140	4095	3124
Zm00001eb133450	6134	5349
Zm00001eb129320	5530	4449
Zm00001eb241190	5746	3027
Zm00001eb062250	5210	4361
Zm00001eb389590	5283	5536
Zm00001eb342960	5557	4484
Zm00001eb188030	8373	4738
Zm00001eb140720	5053	3398
Zm00001eb043480	3671	5127
Zm00001eb205820	4770	5071
Zm00001eb010400	5168	4864
Zm00001eb149640	5143	4335
Zm00001eb117430	4618	4911
Zm00001eb422440	8286	3933
Zm00001eb324440	6706	4445
Zm00001eb270240	5801	5574
Zm00001eb293760	6254	5502
Zm00001eb133900	5285	4221
Zm00001eb202790	6273	5179
Zm00001eb308000	6889	5652
Zm00001eb322580	6038	5178
Zm00001eb281780	5991	5054
Zm00001eb345260	4902	4718
Zm00001eb292370	4728	4887
Zm00001eb251410	4544	4354
Zm00001eb249220	5221	4399
Zm00001eb032230	5383	3857
Zm00001eb336760	6093	5700
